Name,CRP,Model,Accuracy,Time
apuf,5000,LogisticRegressionModel,0.989,0.03100275993347168
apuf,5000,RPropLogisticRegressionModel,0.793,0.037001609802246094
apuf,5000,SupportVectorMachineModel,0.95,0.449998140335083
apuf,5000,DeepLearningModel,0.9779999852180481,4.028001308441162
apuf,10000,LogisticRegressionModel,0.9915,0.05900216102600098
apuf,10000,RPropLogisticRegressionModel,0.802,0.07500100135803223
apuf,10000,SupportVectorMachineModel,0.966,1.9409987926483154
apuf,10000,DeepLearningModel,0.9829999804496765,3.418001174926758
apuf,20000,LogisticRegressionModel,0.994,0.09900236129760742
apuf,20000,RPropLogisticRegressionModel,0.793,0.13700056076049805
apuf,20000,SupportVectorMachineModel,0.968,7.399001359939575
apuf,20000,DeepLearningModel,0.9879999756813049,6.359000205993652
apuf,50000,LogisticRegressionModel,0.9965,0.2630009651184082
apuf,50000,RPropLogisticRegressionModel,0.8044,0.3619999885559082
apuf,50000,SupportVectorMachineModel,0.976,46.93122744560242
apuf,50000,DeepLearningModel,0.9937000274658203,7.547080039978027
apuf,100000,LogisticRegressionModel,0.99835,0.5250022411346436
apuf,100000,RPropLogisticRegressionModel,0.8026,0.742999792098999
apuf,100000,SupportVectorMachineModel,0.99865,1.1230013370513916
apuf,100000,DeepLearningModel,0.9926000237464905,15.638000249862671
apuf,500000,LogisticRegressionModel,0.99917,3.283998966217041
apuf,500000,RPropLogisticRegressionModel,0.80256,4.4280009269714355
apuf,500000,SupportVectorMachineModel,0.99918,10.004000186920166
apuf,500000,DeepLearningModel,0.9950399994850159,42.025511741638184
2-xorapuf,5000,LogisticRegressionModel,0.509,0.2109999656677246
2-xorapuf,5000,RPropLogisticRegressionModel,0.509,0.13499951362609863
2-xorapuf,5000,SupportVectorMachineModel,0.639,5.1810009479522705
2-xorapuf,5000,DeepLearningModel,0.9430000185966492,8.863000631332397
2-xorapuf,10000,LogisticRegressionModel,0.5425,0.013000249862670898
2-xorapuf,10000,RPropLogisticRegressionModel,0.5215,0.06300115585327148
2-xorapuf,10000,SupportVectorMachineModel,0.683,4.728000640869141
2-xorapuf,10000,DeepLearningModel,0.9679999947547913,6.6720006465911865
2-xorapuf,20000,LogisticRegressionModel,0.56375,0.050186872482299805
2-xorapuf,20000,RPropLogisticRegressionModel,0.521,0.21199607849121094
2-xorapuf,20000,SupportVectorMachineModel,0.752,27.843997955322266
2-xorapuf,20000,DeepLearningModel,0.9800000190734863,6.481999158859253
2-xorapuf,50000,LogisticRegressionModel,0.5694,0.08800005912780762
2-xorapuf,50000,RPropLogisticRegressionModel,0.5384,0.40800046920776367
2-xorapuf,50000,SupportVectorMachineModel,0.8247,159.65907502174377
2-xorapuf,50000,DeepLearningModel,0.9843000173568726,14.19077444076538
2-xorapuf,100000,LogisticRegressionModel,0.5922,0.12200307846069336
2-xorapuf,100000,RPropLogisticRegressionModel,0.5455,0.7900025844573975
2-xorapuf,100000,SupportVectorMachineModel,0.5922,43.822197675704956
2-xorapuf,100000,DeepLearningModel,0.9873999953269958,24.29517960548401
2-xorapuf,500000,LogisticRegressionModel,0.61335,0.9543988704681396
2-xorapuf,500000,RPropLogisticRegressionModel,0.54742,5.404930591583252
2-xorapuf,500000,SupportVectorMachineModel,0.61334,308.5116000175476
2-xorapuf,500000,DeepLearningModel,0.9900699853897095,126.59099912643433
3-xorapuf,5000,LogisticRegressionModel,0.478,0.015005111694335938
3-xorapuf,5000,RPropLogisticRegressionModel,0.485,0.05699968338012695
3-xorapuf,5000,SupportVectorMachineModel,0.485,1.062997579574585
3-xorapuf,5000,DeepLearningModel,0.5,6.321903467178345
3-xorapuf,10000,LogisticRegressionModel,0.4855,0.015002250671386719
3-xorapuf,10000,RPropLogisticRegressionModel,0.51,0.06699585914611816
3-xorapuf,10000,SupportVectorMachineModel,0.4955,4.6859986782073975
3-xorapuf,10000,DeepLearningModel,0.4970000088214874,7.176000118255615
3-xorapuf,20000,LogisticRegressionModel,0.493,0.03599882125854492
3-xorapuf,20000,RPropLogisticRegressionModel,0.49875,0.14100027084350586
3-xorapuf,20000,SupportVectorMachineModel,0.5065,28.703998804092407
